Team,TotalHomeWin,TotalHomeLoss,TotalHomeTie,HomeScoredGoals,HomeAgainstGoals,TotalAwayWin,TotalAwayLoss,TotalAwayTie,AwayAgainstGoals,AwayScoredGoals,GoalsScored,GoalsAgainst,Win,Loss,Tie,TotalGames,GoalDifferentials,WinPercentage,GoalsPerGame,GoalsAgainstPerGame,TeamPosition,Season
Schalke 04,12,1,4,36,13,6,7,4,22,29,65,35,18,8,8,34,30,0.529,1.912,1.029,1,2000
Bayern Munich,12,4,1,37,20,7,5,5,17,25,62,37,19,9,6,34,25,0.559,1.824,1.088,2,2000
Dortmund,9,4,4,34,20,7,4,6,22,28,62,42,16,8,10,34,20,0.471,1.824,1.235,3,2000
Freiburg,9,3,5,36,15,6,6,5,22,18,54,37,15,9,10,34,17,0.441,1.588,1.088,4,2000
Wolfsburg,8,3,6,38,18,4,8,5,27,22,60,45,12,11,11,34,15,0.353,1.765,1.324,5,2000
Leverkusen,10,5,2,30,16,7,6,4,24,24,54,40,17,11,6,34,14,0.5,1.588,1.176,6,2000
FC Koln,8,4,5,33,18,4,8,5,34,26,59,52,12,12,10,34,7,0.353,1.735,1.529,7,2000
Hertha,11,4,2,38,22,7,10,0,30,20,58,52,18,14,2,34,6,0.529,1.706,1.529,8,2000
Werder Bremen,10,3,4,33,18,5,8,4,30,20,53,48,15,11,8,34,5,0.441,1.559,1.412,9,2000
Hamburg,8,3,6,33,21,2,10,5,37,25,58,58,10,13,11,34,0,0.294,1.706,1.706,10,2000
Kaiserslautern,8,6,3,24,19,7,8,2,35,25,49,54,15,14,5,34,-5,0.441,1.441,1.588,11,2000
Stuttgart,9,3,5,31,20,0,11,6,29,11,42,49,9,14,11,34,-7,0.265,1.235,1.441,12,2000
Munich 1860,8,6,3,23,25,4,8,5,30,20,43,55,12,14,8,34,-12,0.353,1.265,1.618,13,2000
Hansa Rostock,8,4,5,22,20,4,11,2,27,12,34,47,12,15,7,34,-13,0.353,1.0,1.382,14,2000
Cottbus,10,6,1,27,20,2,13,2,32,11,38,52,12,19,3,34,-14,0.353,1.118,1.529,15,2000
Unterhaching,7,4,6,21,20,1,11,5,39,14,35,59,8,15,11,34,-24,0.235,1.029,1.735,16,2000
Ein Frankfurt,8,6,3,26,22,2,13,2,46,15,41,68,10,19,5,34,-27,0.294,1.206,2.0,17,2000
Bochum,5,8,4,20,28,2,13,2,39,10,30,67,7,21,6,34,-37,0.206,0.882,1.971,18,2000
Bayern Munich,12,0,5,42,10,8,6,3,15,23,65,25,20,6,8,34,40,0.588,1.912,0.735,1,2001
Leverkusen,14,2,1,46,13,7,5,5,25,31,77,38,21,7,6,34,39,0.618,2.265,1.118,2,2001
